"","sitename","PISCO_CODE","lon_wgs84","lat_wgs84"
"242","TERRACE_UC","STER01",-122.0662811,36.9449077
"243","THREE_MILE_CEN","STHM01",-122.1200668,36.957757
"244","TORRE_CANYON_CEN","STOR01",-121.7077983,36.1842176
"245","VANDENBERG_DC","SVND02",-120.6421581,34.7406465
"246","VANDENBERG_UC","SVND01",-120.6484176,34.7496869
"247","WESTON_DC","SWES02",-121.9457864,36.5103468
"248","WESTON_UC","SWES01",-121.9487649,36.5126127
"249","WHALEBOAT_DC","SWLB02",-121.4356472,35.8611049
"250","WHALEBOAT_UC","SWLB01",-121.4411906,35.8642114
"251","WHITE_ROCK_DC","SWHR02",-121.0846267,35.5256489
"252","WHITE_ROCK_UC","SWHR01",-121.0898992,35.5270997
